ticker,current_price,direction,signal_strength,daily_trend_score,h4_trend_score,h4_momentum_score,h1_confirmation_score,rsi_score,adx_score,candle_score,sentiment_score,final_long_score,final_short_score,reason,timestamp_utc
XVGUSD,0.0023928,sell,96.07,100.0,100.0,88.21,100.0,100.0,100.0,100.0,8.0,0.0,96.07,"Sell: consensus favors short, daily downtrend, 4H downtrend, negative 4H momentum, ADX trend confirmed, RSI acceptable, sentiment neutral",2026-06-10T11:29:34.691962+00:00
TURBO,0.00082,sell,95.51,100.0,100.0,91.33,100.0,100.0,85.0,100.0,7.0,0.0,95.51,"Sell: consensus favors short, daily downtrend, 4H downtrend, negative 4H momentum, ADX trend confirmed, RSI acceptable, sentiment neutral",2026-06-10T11:27:51.057717+00:00
TURBOUSD,0.00082,sell,95.37,100.0,100.0,91.33,100.0,100.0,85.0,100.0,14.0,0.0,95.37,"Sell: consensus favors short, daily downtrend, 4H downtrend, negative 4H momentum, ADX trend confirmed, RSI acceptable, sentiment neutral",2026-06-10T11:27:53.827922+00:00
IOTA,0.04441678,sell,94.73,100.0,100.0,79.92,100.0,100.0,100.0,100.0,13.0,0.0,94.73,"Sell: consensus favors short, daily downtrend, 4H downtrend, negative 4H momentum, ADX trend confirmed, RSI acceptable, sentiment neutral",2026-06-10T11:23:33.664966+00:00
BTGUSD,0.24476913,sell,94.66,100.0,87.12,100.0,100.0,100.0,100.0,100.0,6.0,0.0,94.66,"Sell: consensus favors short, daily downtrend, 4H downtrend, negative 4H momentum, ADX trend confirmed, RSI acceptable, sentiment neutral",2026-06-10T11:20:21.919905+00:00
WIFUSD,0.149,sell,93.81,100.0,100.0,87.02,100.0,100.0,100.0,50.0,12.0,0.0,93.81,"Sell: consensus favors short, daily downtrend, 4H downtrend, negative 4H momentum, ADX trend confirmed, RSI acceptable, sentiment neutral",2026-06-10T11:29:05.794818+00:00
LINKUSD,7.62599993,sell,93.73,100.0,97.91,75.0,100.0,100.0,100.0,100.0,0.0,0.0,93.73,"Sell: consensus favors short, daily downtrend, 4H downtrend, negative 4H momentum, ADX trend confirmed, RSI acceptable, sentiment neutral",2026-06-10T11:23:53.337179+00:00
KMDUSD,0.00456631,sell,93.26,100.0,100.0,100.0,100.0,100.0,30.0,100.0,-8.0,0.0,93.26,"Sell: consensus favors short, daily downtrend, 4H downtrend, negative 4H momentum, RSI acceptable, sentiment neutral",2026-06-10T11:23:46.003049+00:00
LUNAUSD,0.0504,sell,92.74,100.0,100.0,77.46,100.0,100.0,100.0,50.0,-6.0,0.0,92.74,"Sell: consensus favors short, daily downtrend, 4H downtrend, negative 4H momentum, ADX trend confirmed, RSI acceptable, sentiment neutral",2026-06-10T11:24:05.660725+00:00
DOGE,0.08309,sell,92.58,100.0,100.0,75.9,100.0,100.0,100.0,50.0,-10.0,0.0,92.58,"Sell: consensus favors short, daily downtrend, 4H downtrend, negative 4H momentum, ADX trend confirmed, RSI acceptable, sentiment neutral",2026-06-10T11:21:06.445414+00:00
